"Regions","Regions"
"Region code field is empty.","Region code field is empty."
"Region code exceeded max length.","Region code exceeded max length."
"Region country field is empty.","Region country field is empty."
"Region locale field is empty.","Region locale field is empty."
"Invalid value of %1 provided for the region locale field.","Invalid value of %1 provided for the region locale field."
"Region name field is empty.","Region name field is empty."
"Region name exceeded max length.","Region name exceeded max length."
"Region with specified code and specified country not found.","Region with specified code and specified country not found."
